t,lambda_dut,lambda_gold,alignment
1,6.524355,6.552542,1.000368
2,7.121401,7.152534,0.999760
3,7.125035,7.163215,0.999573
4,7.125129,7.163528,0.997642
5,7.112309,7.163540,1.000706
6,7.134628,7.163541,0.999328
7,7.124575,7.163541,1.000706
8,7.134628,7.163541,0.999328
9,7.124575,7.163541,1.000706
10,7.134628,7.163541,0.999328
11,7.124575,7.163541,1.000706
12,7.134628,7.163541,0.999328
13,7.124575,7.163541,1.000706
14,7.134628,7.163541,0.999328
15,7.124575,7.163541,1.000706
16,7.134628,7.163541,0.999328
17,7.124575,7.163541,1.000706
18,7.134628,7.163541,0.999328
19,7.124575,7.163541,1.000706
20,7.134628,7.163541,0.999328
21,7.124575,7.163541,1.000706
22,7.134628,7.163541,0.999328
23,7.124575,7.163541,1.000706
24,7.134628,7.163541,0.999328
25,7.124575,7.163541,1.000706
26,7.134628,7.163541,0.999328
27,7.124575,7.163541,1.000706
28,7.134628,7.163541,0.999328
29,7.124575,7.163541,1.000706
30,7.134628,7.163541,0.999328
31,7.124575,7.163541,1.000706
32,7.134628,7.163541,0.999328
33,7.124575,7.163541,1.000706
34,7.134628,7.163541,0.999328
35,7.124575,7.163541,1.000706
36,7.134628,7.163541,0.999328
37,7.124575,7.163541,1.000706
38,7.134628,7.163541,0.999328
39,7.124575,7.163541,1.000706
40,7.134628,7.163541,0.999328
41,7.124575,7.163541,1.000706
42,7.134628,7.163541,0.999328
43,7.124575,7.163541,1.000706
44,7.134628,7.163541,0.999328
45,7.124575,7.163541,1.000706
46,7.134628,7.163541,0.999328
47,7.124575,7.163541,1.000706
48,7.134628,7.163541,0.999328
49,7.124575,7.163541,1.000706
50,7.134628,7.163541,0.999328
51,7.124575,7.163541,1.000706
52,7.134628,7.163541,0.999328
53,7.124575,7.163541,1.000706
54,7.134628,7.163541,0.999328
55,7.124575,7.163541,1.000706
56,7.134628,7.163541,0.999328
57,7.124575,7.163541,1.000706
58,7.134628,7.163541,0.999328
59,7.124575,7.163541,1.000706
60,7.134628,7.163541,0.999328
61,7.124575,7.163541,1.000706
62,7.134628,7.163541,0.999328
63,7.124575,7.163541,1.000706
64,7.134628,7.163541,0.999328
65,7.124575,7.163541,1.000706
66,7.134628,7.163541,0.999328
67,7.124575,7.163541,1.000706
68,7.134628,7.163541,0.999328
69,7.124575,7.163541,1.000706
70,7.134628,7.163541,0.999328
71,7.124575,7.163541,1.000706
72,7.134628,7.163541,0.999328
73,7.124575,7.163541,1.000706
74,7.134628,7.163541,0.999328
75,7.124575,7.163541,1.000706
76,7.134628,7.163541,0.999328
77,7.124575,7.163541,1.000706
78,7.134628,7.163541,0.999328
79,7.124575,7.163541,1.000706
80,7.134628,7.163541,0.999328
81,7.124575,7.163541,1.000706
82,7.134628,7.163541,0.999328
83,7.124575,7.163541,1.000706
84,7.134628,7.163541,0.999328
85,7.124575,7.163541,1.000706
86,7.134628,7.163541,0.999328
87,7.124575,7.163541,1.000706
88,7.134628,7.163541,0.999328
89,7.124575,7.163541,1.000706
90,7.134628,7.163541,0.999328
91,7.124575,7.163541,1.000706
92,7.134628,7.163541,0.999328
93,7.124575,7.163541,1.000706
94,7.134628,7.163541,0.999328
95,7.124575,7.163541,1.000706
96,7.134628,7.163541,0.999328
97,7.124575,7.163541,1.000706
98,7.134628,7.163541,0.999328
99,7.124575,7.163541,1.000706
100,7.134628,7.163541,0.999328
101,7.124575,7.163541,1.000706
102,7.134628,7.163541,0.999328
103,7.124575,7.163541,1.000706
104,7.134628,7.163541,0.999328
105,7.124575,7.163541,1.000706
106,7.134628,7.163541,0.999328
107,7.124575,7.163541,1.000706
108,7.134628,7.163541,0.999328
109,7.124575,7.163541,1.000706
110,7.134628,7.163541,0.999328
111,7.124575,7.163541,1.000706
112,7.134628,7.163541,0.999328
113,7.124575,7.163541,1.000706
114,7.134628,7.163541,0.999328
115,7.124575,7.163541,1.000706
116,7.134628,7.163541,0.999328
117,7.124575,7.163541,1.000706
118,7.134628,7.163541,0.999328
119,7.124575,7.163541,1.000706
120,7.134628,7.163541,0.999328
121,7.124575,7.163541,1.000706
122,7.134628,7.163541,0.999328
123,7.124575,7.163541,1.000706
124,7.134628,7.163541,0.999328
125,7.124575,7.163541,1.000706
126,7.134628,7.163541,0.999328
127,7.124575,7.163541,1.000706
128,7.134628,7.163541,0.999328
129,7.124575,7.163541,1.000706
130,7.134628,7.163541,0.999328
131,7.124575,7.163541,1.000706
132,7.134628,7.163541,0.999328
133,7.124575,7.163541,1.000706
134,7.134628,7.163541,0.999328
135,7.124575,7.163541,1.000706
136,7.134628,7.163541,0.999328
137,7.124575,7.163541,1.000706
138,7.134628,7.163541,0.999328
139,7.124575,7.163541,1.000706
140,7.134628,7.163541,0.999328
141,7.124575,7.163541,1.000706
142,7.134628,7.163541,0.999328
143,7.124575,7.163541,1.000706
144,7.134628,7.163541,0.999328
145,7.124575,7.163541,1.000706
146,7.134628,7.163541,0.999328
147,7.124575,7.163541,1.000706
148,7.134628,7.163541,0.999328
149,7.124575,7.163541,1.000706
150,7.134628,7.163541,0.999328
151,7.124575,7.163541,1.000706
152,7.134628,7.163541,0.999328
153,7.124575,7.163541,1.000706
154,7.134628,7.163541,0.999328
155,7.124575,7.163541,1.000706
156,7.134628,7.163541,0.999328
157,7.124575,7.163541,1.000706
158,7.134628,7.163541,0.999328
159,7.124575,7.163541,1.000706
160,7.134628,7.163541,0.999328
161,7.124575,7.163541,1.000706
162,7.134628,7.163541,0.999328
163,7.124575,7.163541,1.000706
164,7.134628,7.163541,0.999328
165,7.124575,7.163541,1.000706
166,7.134628,7.163541,0.999328
167,7.124575,7.163541,1.000706
168,7.134628,7.163541,0.999328
169,7.124575,7.163541,1.000706
170,7.134628,7.163541,0.999328
171,7.124575,7.163541,1.000706
172,7.134628,7.163541,0.999328
173,7.124575,7.163541,1.000706
174,7.134628,7.163541,0.999328
175,7.124575,7.163541,1.000706
176,7.134628,7.163541,0.999328
177,7.124575,7.163541,1.000706
178,7.134628,7.163541,0.999328
179,7.124575,7.163541,1.000706
180,7.134628,7.163541,0.999328
181,7.124575,7.163541,1.000706
182,7.134628,7.163541,0.999328
183,7.124575,7.163541,1.000706
184,7.134628,7.163541,0.999328
185,7.124575,7.163541,1.000706
186,7.134628,7.163541,0.999328
187,7.124575,7.163541,1.000706
188,7.134628,7.163541,0.999328
189,7.124575,7.163541,1.000706
190,7.134628,7.163541,0.999328
191,7.124575,7.163541,1.000706
192,7.134628,7.163541,0.999328
193,7.124575,7.163541,1.000706
194,7.134628,7.163541,0.999328
195,7.124575,7.163541,1.000706
196,7.134628,7.163541,0.999328
197,7.124575,7.163541,1.000706
198,7.134628,7.163541,0.999328
199,7.124575,7.163541,1.000706
200,7.134628,7.163541,0.999328
201,7.124575,7.163541,1.000706
202,7.134628,7.163541,0.999328
203,7.124575,7.163541,1.000706
204,7.134628,7.163541,0.999328
205,7.124575,7.163541,1.000706
206,7.134628,7.163541,0.999328
207,7.124575,7.163541,1.000706
208,7.134628,7.163541,0.999328
209,7.124575,7.163541,1.000706
210,7.134628,7.163541,0.999328
211,7.124575,7.163541,1.000706
212,7.134628,7.163541,0.999328
213,7.124575,7.163541,1.000706
214,7.134628,7.163541,0.999328
215,7.124575,7.163541,1.000706
216,7.134628,7.163541,0.999328
217,7.124575,7.163541,1.000706
218,7.134628,7.163541,0.999328
219,7.124575,7.163541,1.000706
220,7.134628,7.163541,0.999328
221,7.124575,7.163541,1.000706
222,7.134628,7.163541,0.999328
223,7.124575,7.163541,1.000706
224,7.134628,7.163541,0.999328
225,7.124575,7.163541,1.000706
226,7.134628,7.163541,0.999328
227,7.124575,7.163541,1.000706
228,7.134628,7.163541,0.999328
229,7.124575,7.163541,1.000706
230,7.134628,7.163541,0.999328
231,7.124575,7.163541,1.000706
232,7.134628,7.163541,0.999328
233,7.124575,7.163541,1.000706
234,7.134628,7.163541,0.999328
235,7.124575,7.163541,1.000706
236,7.134628,7.163541,0.999328
237,7.124575,7.163541,1.000706
238,7.134628,7.163541,0.999328
239,7.124575,7.163541,1.000706
240,7.134628,7.163541,0.999328
241,7.124575,7.163541,1.000706
242,7.134628,7.163541,0.999328
243,7.124575,7.163541,1.000706
244,7.134628,7.163541,0.999328
245,7.124575,7.163541,1.000706
246,7.134628,7.163541,0.999328
247,7.124575,7.163541,1.000706
248,7.134628,7.163541,0.999328
249,7.124575,7.163541,1.000706
250,7.134628,7.163541,0.999328
251,7.124575,7.163541,1.000706
252,7.134628,7.163541,0.999328
253,7.124575,7.163541,1.000706
