idx,e_max,offset,in_0,in_1,in_2,in_3,in_4,in_5,in_6,in_7,out_0,out_1,out_2,out_3,out_4,out_5,out_6,out_7
0,52,-20,1129,2259,4518,844,1689,3378,6756,5321,0,979,4096,0,409,2098,5476,4096
1,50,-18,2450,4901,1611,3222,6445,4698,1205,2410,1298,4096,459,2070,5293,4096,53,1258
2,53,-21,4820,1449,2899,5798,3405,6811,5430,2668,4096,105,1555,4454,2061,5467,4096,1324
3,54,-22,5336,2480,4960,1729,3459,6918,5645,3098,4096,1072,4096,321,2051,5510,4237,1690
4,53,-21,6197,4202,212,424,848,1696,3392,6784,4853,4096,0,0,0,352,2048,5440
5,40,-8,5377,2562,5125,2058,4116,40,81,163,4865,2050,4613,1546,4096,0,0,0
6,40,-8,326,653,1307,2614,5229,2266,4532,872,0,141,795,2102,4717,1754,4096,360
7,54,-22,1744,3488,6976,5761,3330,6661,5131,2070,336,2080,5568,4353,1922,5253,4096,662
8,45,-13,4141,91,182,365,730,1460,2920,5841,4096,0,0,0,0,628,2088,5009
9,54,-22,3491,6982,5773,3355,6710,5229,2266,4532,2083,5574,4365,1947,5302,4096,858,4096
10,54,-22,872,1744,3489,6978,5765,3339,6679,5167,0,336,2081,5570,4357,1931,5271,4096
11,60,-28,2142,4284,376,753,1507,3014,6029,3867,350,4096,0,0,0,1222,4237,2075
12,56,-24,7734,7277,6363,4534,877,1755,3510,7020,6198,5741,4827,4096,0,219,1974,5484
13,54,-22,5848,3504,7008,5824,3457,6915,5638,3085,4440,2096,5600,4416,2049,5507,4230,1677
14,55,-23,6171,4151,110,221,443,886,1772,3544,4699,4096,0,0,0,0,300,2072
15,59,-27,7089,5987,3783,7566,6940,5688,3185,6370,5361,4259,2055,5838,5212,4096,1457,4642
16,56,-24,4549,906,1813,3626,7252,6312,4433,674,4096,0,277,2090,5716,4776,4096,0
17,42,-10,1349,2698,5396,2600,5201,2210,4420,648,709,2058,4756,1960,4561,1570,4096,8
18,40,-8,1296,2593,5187,2183,4366,541,1082,2165,784,2081,4675,1671,4096,29,570,1653
19,58,-26,4331,471,943,1886,3772,7544,6896,5600,4096,0,0,222,2108,5880,5232,4096
20,60,-28,3009,6019,3846,7693,7195,6198,4204,217,1217,4227,2054,5901,5403,4406,4096,0
21,54,-22,435,871,1742,3484,6969,5746,3300,6601,0,0,334,2076,5561,4338,1892,5193
22,57,-25,5010,1828,3657,7314,6437,4682,1172,2344,4096,228,2057,5714,4837,4096,0,744
23,40,-8,4689,1187,2374,4749,1307,2615,5231,2271,4177,675,1862,4237,795,2103,4719,1759
24,63,-31,4543,895,1791,3583,7167,6143,4094,8188,4096,0,0,1599,5183,4159,2110,6204
25,63,-31,8184,8177,8162,8133,8074,7957,7722,7253,6200,6193,6178,6149,6090,5973,5738,5269
26,43,-11,6315,4439,686,1372,2744,5489,2786,5572,5611,4096,0,668,2040,4785,2082,4868
27,56,-24,2952,5904,3617,7235,6279,4367,543,1086,1416,4368,2081,5699,4743,4096,0,0
28,62,-30,2172,4344,497,995,1991,3982,7964,7737,252,4096,0,0,71,2062,6044,5817
29,57,-25,7283,6375,4558,925,1851,3703,7406,6620,5683,4775,4096,0,251,2103,5806,5020
30,59,-27,5048,1904,3809,7618,7044,5897,3603,7206,4096,176,2081,5890,5316,4169,1875,5478
31,38,-6,6220,4249,307,615,1231,2462,4925,1658,5836,4096,0,231,847,2078,4541,1274
32,61,-29,3317,6634,5077,1963,3927,7854,7517,6842,1461,4778,4096,107,2071,5998,5661,4986
33,58,-26,5493,2794,5589,2987,5974,3756,7512,6833,4096,1130,4096,1323,4310,2092,5848,5169
34,49,-17,5474,2756,5512,2832,5665,3138,6277,4363,4386,1668,4424,1744,4577,2050,5189,4096
35,46,-14,535,1070,2141,4282,373,747,1494,2989,0,174,1245,4096,0,0,598,2093
36,58,-26,5979,3767,7535,6879,5567,2943,5887,3582,4315,2103,5871,5215,4096,1279,4223,1918
37,63,-31,7164,6136,4080,8161,8130,8068,7945,7698,5180,4152,2096,6177,6146,6084,5961,5714
38,48,-16,7204,6216,4241,290,580,1161,2323,4646,6180,5192,4096,0,0,137,1299,4096
39,38,-6,1101,2202,4405,618,1237,2474,4949,1706,717,1818,4096,234,853,2090,4565,1322
40,53,-21,3412,6824,5457,2722,5445,2698,5396,2600,2068,5480,4113,1378,4101,1354,4096,1256
41,40,-8,5201,2211,4422,653,1306,2613,5227,2262,4689,1699,4096,141,794,2101,4715,1750
42,53,-21,4524,856,1712,3424,6849,5506,2820,5640,4096,0,368,2080,5505,4162,1476,4296
43,48,-16,3088,6176,4160,128,257,515,1030,2060,2064,5152,4096,0,0,0,6,1036
44,49,-17,4120,49,98,196,392,784,1568,3136,4096,0,0,0,0,0,480,2048
45,34,-2,6273,4354,516,1033,2067,4135,79,158,6145,4226,388,905,1939,4096,0,30
46,61,-29,317,635,1271,2543,5087,1982,3965,7930,0,0,0,687,4096,126,2109,6074
47,62,-30,7669,7147,6102,4013,8026,7860,7529,6867,5749,5227,4182,2093,6106,5940,5609,4947
48,52,-20,5542,2893,5786,3380,6761,5331,2471,4943,4262,1613,4506,2100,5481,4096,1191,4096
49,60,-28,1694,3388,6777,5362,2533,5066,1941,3882,0,1596,4985,4096,741,4096,149,2090
50,57,-25,7764,7336,6481,4770,1349,2698,5396,2601,6164,5736,4881,4096,0,1098,4096,1001
51,41,-9,5202,2212,4425,659,1319,2639,5279,2367,4626,1636,4096,83,743,2063,4703,1791
52,63,-31,4735,1279,2559,5118,2045,4090,8180,8169,4096,0,575,4096,61,2106,6196,6185
53,63,-31,8146,8101,8011,7830,7468,6745,5298,2405,6162,6117,6027,5846,5484,4761,4096,421
54,50,-18,4810,1428,2856,5713,3235,6471,4751,1310,4096,276,1704,4561,2083,5319,4096,158
55,60,-28,2620,5240,2288,4577,962,1925,3850,7701,828,4096,496,4096,0,133,2058,5909
