format,bits,arena,metric,value
NFE-13,13,A,mean_mre_pct,0.5276212390310087
NFE-13,13,A,p95_mre_pct,0.7568700547468515
NFE-13,13,B_neutral_unnorm,onset_mean,2.36
NFE-13,13,B_neutral_unnorm,never_diverg,0
NFE-13,13,B_neutral_unnorm,final_mre,20.911861738620004
NFE-13,13,B_neutral_unnorm,sat_per_chain,0.0
NFE-13,13,B_neutral_unnorm,floor_per_chain,0.0
NFE-13,13,B_neutral_unnorm,n_valid,100
NFE-13,13,B_neutral_k=8,onset_mean,2.39
NFE-13,13,B_neutral_k=8,never_diverg,0
NFE-13,13,B_neutral_k=8,final_mre,65.37596493018859
NFE-13,13,B_neutral_k=8,sat_per_chain,0.0
NFE-13,13,B_neutral_k=8,floor_per_chain,0.0
NFE-13,13,B_neutral_k=8,n_valid,100
NFE-13,13,B_expansive_unnorm,onset_mean,2.58
NFE-13,13,B_expansive_unnorm,never_diverg,0
NFE-13,13,B_expansive_unnorm,final_mre,95.55422704535209
NFE-13,13,B_expansive_unnorm,sat_per_chain,236.83
NFE-13,13,B_expansive_unnorm,floor_per_chain,0.0
NFE-13,13,B_expansive_unnorm,n_valid,100
NFE-13,13,B_expansive_k=8,onset_mean,2.45
NFE-13,13,B_expansive_k=8,never_diverg,0
NFE-13,13,B_expansive_k=8,final_mre,99.99999999879999
NFE-13,13,B_expansive_k=8,sat_per_chain,0.0
NFE-13,13,B_expansive_k=8,floor_per_chain,0.0
NFE-13,13,B_expansive_k=8,n_valid,100
NFE-13,13,C,accuracy_pct,96.38888888888889
FP8-E4M3,8,A,mean_mre_pct,1.5278303599398557
FP8-E4M3,8,A,p95_mre_pct,3.035220238164968
FP8-E4M3,8,B_neutral_unnorm,onset_mean,1.0
FP8-E4M3,8,B_neutral_unnorm,never_diverg,0
FP8-E4M3,8,B_neutral_unnorm,final_mre,4.082923714290277
FP8-E4M3,8,B_neutral_unnorm,sat_per_chain,0.0
FP8-E4M3,8,B_neutral_unnorm,floor_per_chain,0.0
FP8-E4M3,8,B_neutral_unnorm,n_valid,100
FP8-E4M3,8,B_neutral_k=8,onset_mean,1.0
FP8-E4M3,8,B_neutral_k=8,never_diverg,0
FP8-E4M3,8,B_neutral_k=8,final_mre,65.16474793281418
FP8-E4M3,8,B_neutral_k=8,sat_per_chain,0.0
FP8-E4M3,8,B_neutral_k=8,floor_per_chain,0.0
FP8-E4M3,8,B_neutral_k=8,n_valid,100
FP8-E4M3,8,B_expansive_unnorm,onset_mean,1.0
FP8-E4M3,8,B_expansive_unnorm,never_diverg,0
