test_id,subtest,cyc,stored_E,f_val,op_code,result,uf,ovf,rollover,extra
12,0,0,0,0,3,0,1,0,0,0
12,0,1,0,0,1,0,0,0,0,0
12,0,2,0,0,2,0,1,0,0,0
12,1,0,0,31,3,0,1,0,0,0
12,1,1,0,31,1,62,0,0,0,31
12,1,2,0,31,2,31,0,0,0,0
12,2,0,0,63,3,0,1,0,0,0
12,2,1,0,63,1,95,0,0,1,63
12,2,2,0,63,2,63,0,0,0,0
12,3,0,1,0,3,0,1,0,0,0
12,3,1,1,0,1,64,0,0,0,0
12,3,2,1,0,2,64,0,0,0,0
12,4,0,1,31,3,0,1,0,0,0
12,4,1,1,31,1,126,0,0,0,31
12,4,2,1,31,2,95,0,0,0,0
12,5,0,1,63,3,0,1,0,0,0
12,5,1,1,63,1,159,0,0,1,63
12,5,2,1,63,2,127,0,0,0,0
12,6,0,2,0,3,0,1,0,0,0
12,6,1,2,0,1,128,0,0,0,0
12,6,2,2,0,2,128,0,0,0,0
12,7,0,2,31,3,0,1,0,0,0
12,7,1,2,31,1,190,0,0,0,31
12,7,2,2,31,2,159,0,0,0,0
12,8,0,2,63,3,0,1,0,0,0
12,8,1,2,63,1,223,0,0,1,63
12,8,2,2,63,2,191,0,0,0,0
12,9,0,3,0,3,0,1,0,0,0
12,9,1,3,0,1,192,0,0,0,0
12,9,2,3,0,2,192,0,0,0,0
12,10,0,3,31,3,0,1,0,0,0
12,10,1,3,31,1,254,0,0,0,31
12,10,2,3,31,2,223,0,0,0,0
12,11,0,3,63,3,0,1,0,0,0
12,11,1,3,63,1,287,0,0,1,63
12,11,2,3,63,2,255,0,0,0,0
12,12,0,4,0,3,0,1,0,0,0
12,12,1,4,0,1,256,0,0,0,0
12,12,2,4,0,2,256,0,0,0,0
12,13,0,4,31,3,0,1,0,0,0
12,13,1,4,31,1,318,0,0,0,31
12,13,2,4,31,2,287,0,0,0,0
12,14,0,4,63,3,0,1,0,0,0
12,14,1,4,63,1,351,0,0,1,63
12,14,2,4,63,2,319,0,0,0,0
