test_id,subtest,cyc,stored_E,f_val,op_code,result,uf,ovf,rollover,extra
13,0,0,12,0,3,0,1,0,0,0
13,1,0,12,0,3,768,0,0,0,768
13,2,0,12,0,1,768,0,0,0,0
13,3,0,12,0,3,704,0,0,0,0
13,0,1,12,1,3,0,1,0,0,0
13,1,1,12,1,3,769,0,0,0,769
13,2,1,12,1,1,770,0,0,0,0
13,3,1,12,1,3,705,0,0,0,0
13,0,2,12,2,3,0,1,0,0,0
13,1,2,12,2,3,770,0,0,0,770
13,2,2,12,2,1,772,0,0,0,0
13,3,2,12,2,3,706,0,0,0,0
13,0,3,12,3,3,0,1,0,0,0
13,1,3,12,3,3,771,0,0,0,771
13,2,3,12,3,1,774,0,0,0,0
13,3,3,12,3,3,707,0,0,0,0
13,0,4,12,4,3,0,1,0,0,0
13,1,4,12,4,3,772,0,0,0,772
13,2,4,12,4,1,776,0,0,0,0
13,3,4,12,4,3,708,0,0,0,0
13,0,5,12,5,3,0,1,0,0,0
13,1,5,12,5,3,773,0,0,0,773
13,2,5,12,5,1,778,0,0,0,0
13,3,5,12,5,3,709,0,0,0,0
13,0,6,12,6,3,0,1,0,0,0
13,1,6,12,6,3,774,0,0,0,774
13,2,6,12,6,1,780,0,0,0,0
13,3,6,12,6,3,710,0,0,0,0
13,0,7,12,7,3,0,1,0,0,0
13,1,7,12,7,3,775,0,0,0,775
13,2,7,12,7,1,782,0,0,0,0
13,3,7,12,7,3,711,0,0,0,0
13,0,8,12,8,3,0,1,0,0,0
13,1,8,12,8,3,776,0,0,0,776
13,2,8,12,8,1,784,0,0,0,0
13,3,8,12,8,3,712,0,0,0,0
13,0,9,12,9,3,0,1,0,0,0
13,1,9,12,9,3,777,0,0,0,777
13,2,9,12,9,1,786,0,0,0,0
13,3,9,12,9,3,713,0,0,0,0
13,0,10,12,10,3,0,1,0,0,0
13,1,10,12,10,3,778,0,0,0,778
13,2,10,12,10,1,788,0,0,0,0
13,3,10,12,10,3,714,0,0,0,0
13,0,11,12,11,3,0,1,0,0,0
13,1,11,12,11,3,779,0,0,0,779
13,2,11,12,11,1,790,0,0,0,0
13,3,11,12,11,3,715,0,0,0,0
13,0,12,12,12,3,0,1,0,0,0
13,1,12,12,12,3,780,0,0,0,780
13,2,12,12,12,1,792,0,0,0,0
13,3,12,12,12,3,716,0,0,0,0
13,0,13,12,13,3,0,1,0,0,0
13,1,13,12,13,3,781,0,0,0,781
13,2,13,12,13,1,794,0,0,0,0
13,3,13,12,13,3,717,0,0,0,0
13,0,14,12,14,3,0,1,0,0,0
13,1,14,12,14,3,782,0,0,0,782
13,2,14,12,14,1,796,0,0,0,0
13,3,14,12,14,3,718,0,0,0,0
13,0,15,12,15,3,0,1,0,0,0
13,1,15,12,15,3,783,0,0,0,783
13,2,15,12,15,1,798,0,0,0,0
13,3,15,12,15,3,719,0,0,0,0
13,0,16,12,16,3,0,1,0,0,0
13,1,16,12,16,3,784,0,0,0,784
13,2,16,12,16,1,800,0,0,0,0
13,3,16,12,16,3,720,0,0,0,0
13,0,17,12,17,3,0,1,0,0,0
13,1,17,12,17,3,785,0,0,0,785
13,2,17,12,17,1,802,0,0,0,0
13,3,17,12,17,3,721,0,0,0,0
13,0,18,12,18,3,0,1,0,0,0
13,1,18,12,18,3,786,0,0,0,786
13,2,18,12,18,1,804,0,0,0,0
13,3,18,12,18,3,722,0,0,0,0
13,0,19,12,19,3,0,1,0,0,0
13,1,19,12,19,3,787,0,0,0,787
13,2,19,12,19,1,806,0,0,0,0
13,3,19,12,19,3,723,0,0,0,0
13,0,20,12,20,3,0,1,0,0,0
13,1,20,12,20,3,788,0,0,0,788
13,2,20,12,20,1,808,0,0,0,0
13,3,20,12,20,3,724,0,0,0,0
13,0,21,12,21,3,0,1,0,0,0
13,1,21,12,21,3,789,0,0,0,789
