cycle,stream,A,B,OP,E_est,MODE,RESULT,ACC,PE_ACC,UF,OVF,RO,REGION
0,A,081e,0500,MUL,20,0,051e,00000000,00000000,0,0,0,STABLE
1,B,082e,033d,MUL,13,0,036b,0000051e,00000000,0,0,0,COLLAPSE
2,C,0800,07c0,MUL,31,0,07c0,0000051e,0000051e,0,0,0,STABLE
3,A,0836,0610,MUL,25,0,0649,00000cde,0000051e,0,0,0,STABLE
4,B,0837,036d,MUL,14,2,03a5,00001327,00000cde,0,0,0,COLLAPSE
5,C,07c0,07c0,MUL,30,0,0780,00001327,00001327,0,0,0,STABLE
6,A,0837,071f,MUL,29,0,0758,00001aa7,00001327,0,0,0,STABLE
7,B,083d,03af,MUL,15,3,03ec,000021ff,00001aa7,0,0,0,COLLAPSE
8,C,0780,07c0,MUL,29,0,0740,000021ff,000021ff,0,0,0,STABLE
9,A,083f,0800,MUL,32,0,083f,0000293f,000021ff,0,0,0,STABLE
10,B,082d,03fe,MUL,16,0,042b,0000317e,0000293f,0,0,0,TRANSITION
11,C,0740,0740,ADD,29,0,0740,0000317e,0000317e,0,0,0,STABLE
12,A,0838,0910,ADD,33,0,0844,000038be,0000317e,0,0,1,STABLE
13,B,082f,0431,MUL,17,2,0461,00004102,000038be,0,0,0,TRANSITION
14,C,0740,07c0,MUL,28,0,0700,00004102,00004102,0,0,0,STABLE
15,A,0804,0a1f,SUB,28,0,0700,00004802,00004102,0,0,0,STABLE
16,B,083e,0448,MUL,31,3,07ca,00004802,00004802,0,0,0,STABLE
17,C,0700,07c0,MUL,27,0,06c0,00004802,00004802,0,0,0,STABLE
18,A,0822,0930,MUL,37,0,0955,00004ec2,00004802,0,0,0,STABLE
19,B,0831,03c5,MUL,15,0,03f9,00005817,00004ec2,0,0,0,COLLAPSE
20,C,06c0,07c0,MUL,26,0,0680,00005817,00005817,0,0,0,STABLE
21,A,0815,073f,MUL,29,0,0754,00005e97,00005817,0,0,0,STABLE
22,B,0808,03ab,MUL,14,2,03b8,000065eb,00005e97,0,0,0,COLLAPSE
23,C,0680,0840,MUL,27,0,06c0,000065eb,000065eb,0,0,0,STABLE
24,A,082c,0500,MUL,20,0,052c,00006cab,000065eb,0,0,0,STABLE
25,B,0805,0319,MUL,12,3,031f,000071d7,00006cab,0,0,0,COLLAPSE
26,C,06c0,07c0,MUL,26,0,0680,000071d7,000071d7,0,0,0,STABLE
27,A,0827,0610,MUL,25,0,0640,000071d7,000071d7,0,0,0,STABLE
28,B,082b,034f,MUL,14,0,0382,00007817,000071d7,0,0,0,COLLAPSE
29,C,0680,07c0,MUL,25,2,0640,00007817,00007817,0,0,0,STABLE
30,A,083e,071f,ADD,33,0,084e,00007817,00007817,0,0,1,STABLE
31,B,0819,03bd,MUL,15,2,03d6,00008065,00007817,0,0,0,COLLAPSE
32,C,0640,07c0,MUL,24,2,0600,00008065,00008065,0,0,0,STABLE
33,A,0835,0800,SUB,32,0,0835,00008065,00008065,0,0,0,STABLE
34,B,080f,03eb,MUL,16,3,0402,0000889a,00008065,0,0,0,TRANSITION
35,C,0600,0600,ADD,24,2,0600,0000889a,0000889a,0,0,0,STABLE
36,A,082e,0910,MUL,37,0,0944,0000889a,0000889a,0,0,0,STABLE
37,B,083d,041c,MUL,17,0,0459,000091de,0000889a,0,0,0,TRANSITION
38,C,0600,07c0,MUL,23,2,05c0,000091de,000091de,0,0,0,STABLE
39,A,0833,0a1f,MUL,41,0,0a55,000091de,000091de,0,0,0,STABLE
40,B,082b,0467,MUL,18,2,0496,00009c33,000091de,0,0,0,TRANSITION
41,C,05c0,07c0,MUL,22,2,0580,00009c33,00009c33,0,0,0,STABLE
