cycle,class,E,depth,region,mode,action,boundary_flag,override_flag
0,A,0,0,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
1,A,0,1,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
2,A,0,2,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
3,A,0,3,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
4,A,0,4,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
5,A,0,5,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
6,A,0,6,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
7,A,0,7,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
8,A,0,8,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
9,A,0,9,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
10,A,0,10,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
11,A,0,11,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
12,A,0,12,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
13,A,0,13,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
14,A,0,14,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
15,A,0,15,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
16,A,0,16,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
17,A,0,17,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
18,A,0,18,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
19,A,0,19,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
20,A,0,20,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
21,A,0,21,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
22,A,0,22,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
23,A,0,23,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
24,A,0,24,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
25,A,0,25,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
26,A,0,26,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
27,A,0,27,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
28,A,0,28,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
29,A,0,29,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
30,A,0,30,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
31,A,0,31,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
32,A,1,0,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
33,A,1,1,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
34,A,1,2,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
35,A,1,3,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
36,A,1,4,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
37,A,1,5,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
38,A,1,6,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
39,A,1,7,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
40,A,1,8,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
