source,pat_name,trial,n_flip,iteration,hamming_to_nearest,nearest_pat,overlap_H,overlap_T,overlap_X
python,H,0,8,0,8,H,0.750000,0.031250,0.000000
python,H,0,8,1,0,H,1.000000,0.031250,0.187500
python,H,0,8,2,0,H,1.000000,0.031250,0.187500
python,H,1,8,0,8,H,0.750000,-0.093750,0.062500
python,H,1,8,1,0,H,1.000000,0.031250,0.187500
python,H,1,8,2,0,H,1.000000,0.031250,0.187500
python,H,2,8,0,8,H,0.750000,0.093750,0.187500
python,H,2,8,1,0,H,1.000000,0.031250,0.187500
python,H,2,8,2,0,H,1.000000,0.031250,0.187500
python,H,3,8,0,8,H,0.750000,-0.031250,0.062500
python,H,3,8,1,0,H,1.000000,0.031250,0.187500
python,H,3,8,2,0,H,1.000000,0.031250,0.187500
python,H,4,8,0,8,H,0.750000,0.093750,0.125000
python,H,4,8,1,0,H,1.000000,0.031250,0.187500
python,H,4,8,2,0,H,1.000000,0.031250,0.187500
python,H,5,8,0,8,H,0.750000,0.031250,0.250000
python,H,5,8,1,0,H,1.000000,0.031250,0.187500
python,H,5,8,2,0,H,1.000000,0.031250,0.187500
python,H,6,8,0,8,H,0.750000,0.156250,0.062500
python,H,6,8,1,0,H,1.000000,0.031250,0.187500
python,H,6,8,2,0,H,1.000000,0.031250,0.187500
python,H,7,8,0,8,H,0.750000,0.218750,0.187500
python,H,7,8,1,0,H,1.000000,0.031250,0.187500
python,H,7,8,2,0,H,1.000000,0.031250,0.187500
python,H,8,8,0,8,H,0.750000,0.031250,0.125000
python,H,8,8,1,0,H,1.000000,0.031250,0.187500
python,H,8,8,2,0,H,1.000000,0.031250,0.187500
python,H,9,8,0,8,H,0.750000,0.031250,0.250000
python,H,9,8,1,0,H,1.000000,0.031250,0.187500
python,H,9,8,2,0,H,1.000000,0.031250,0.187500
python,H,10,8,0,8,H,0.750000,-0.031250,0.250000
python,H,10,8,1,0,H,1.000000,0.031250,0.187500
python,H,10,8,2,0,H,1.000000,0.031250,0.187500
python,H,11,8,0,8,H,0.750000,-0.031250,0.312500
python,H,11,8,1,0,H,1.000000,0.031250,0.187500
python,H,11,8,2,0,H,1.000000,0.031250,0.187500
python,H,12,8,0,8,H,0.750000,0.031250,0.187500
python,H,12,8,1,0,H,1.000000,0.031250,0.187500
python,H,12,8,2,0,H,1.000000,0.031250,0.187500
python,H,13,8,0,8,H,0.750000,0.218750,0.187500
python,H,13,8,1,0,H,1.000000,0.031250,0.187500
python,H,13,8,2,0,H,1.000000,0.031250,0.187500
python,H,14,8,0,8,H,0.750000,0.093750,0.250000
python,H,14,8,1,0,H,1.000000,0.031250,0.187500
python,H,14,8,2,0,H,1.000000,0.031250,0.187500
python,H,15,8,0,8,H,0.750000,0.093750,0.125000
python,H,15,8,1,0,H,1.000000,0.031250,0.187500
python,H,15,8,2,0,H,1.000000,0.031250,0.187500
python,H,16,8,0,8,H,0.750000,-0.093750,0.187500
python,H,16,8,1,0,H,1.000000,0.031250,0.187500
python,H,16,8,2,0,H,1.000000,0.031250,0.187500
python,H,17,8,0,8,H,0.750000,-0.093750,0.250000
python,H,17,8,1,0,H,1.000000,0.031250,0.187500
python,H,17,8,2,0,H,1.000000,0.031250,0.187500
python,H,18,8,0,8,H,0.750000,-0.031250,0.125000
python,H,18,8,1,0,H,1.000000,0.031250,0.187500
python,H,18,8,2,0,H,1.000000,0.031250,0.187500
python,H,19,8,0,8,H,0.750000,-0.031250,0.125000
python,H,19,8,1,0,H,1.000000,0.031250,0.187500
python,H,19,8,2,0,H,1.000000,0.031250,0.187500
python,H,0,13,0,13,H,0.593750,-0.062500,0.156250
python,H,0,13,1,0,H,1.000000,0.031250,0.187500
python,H,0,13,2,0,H,1.000000,0.031250,0.187500
python,H,1,13,0,13,H,0.593750,0.125000,0.156250
python,H,1,13,1,0,H,1.000000,0.031250,0.187500
python,H,1,13,2,0,H,1.000000,0.031250,0.187500
python,H,2,13,0,13,H,0.593750,0.125000,0.218750
python,H,2,13,1,0,H,1.000000,0.031250,0.187500
python,H,2,13,2,0,H,1.000000,0.031250,0.187500
python,H,3,13,0,13,H,0.593750,-0.062500,0.031250
python,H,3,13,1,0,H,1.000000,0.031250,0.187500
python,H,3,13,2,0,H,1.000000,0.031250,0.187500
python,H,4,13,0,13,H,0.593750,0.062500,-0.031250
python,H,4,13,1,0,H,1.000000,0.031250,0.187500
python,H,4,13,2,0,H,1.000000,0.031250,0.187500
python,H,5,13,0,13,H,0.593750,-0.187500,0.156250
python,H,5,13,1,0,H,1.000000,0.031250,0.187500
python,H,5,13,2,0,H,1.000000,0.031250,0.187500
python,H,6,13,0,13,H,0.593750,0.250000,0.156250
python,H,6,13,1,0,H,1.000000,0.031250,0.187500
python,H,6,13,2,0,H,1.000000,0.031250,0.187500
python,H,7,13,0,13,H,0.593750,0.062500,0.281250
python,H,7,13,1,0,H,1.000000,0.031250,0.187500
python,H,7,13,2,0,H,1.000000,0.031250,0.187500
python,H,8,13,0,13,H,0.593750,-0.125000,0.093750
python,H,8,13,1,0,H,1.000000,0.031250,0.187500
python,H,8,13,2,0,H,1.000000,0.031250,0.187500
python,H,9,13,0,13,H,0.593750,0.000000,-0.093750
python,H,9,13,1,0,H,1.000000,0.031250,0.187500
python,H,9,13,2,0,H,1.000000,0.031250,0.187500
python,H,10,13,0,13,H,0.593750,0.000000,0.093750
python,H,10,13,1,0,H,1.000000,0.031250,0.187500
python,H,10,13,2,0,H,1.000000,0.031250,0.187500
python,H,11,13,0,13,H,0.593750,0.187500,0.093750
python,H,11,13,1,0,H,1.000000,0.031250,0.187500
python,H,11,13,2,0,H,1.000000,0.031250,0.187500
python,H,12,13,0,13,H,0.593750,-0.125000,0.031250
python,H,12,13,1,0,H,1.000000,0.031250,0.187500
python,H,12,13,2,0,H,1.000000,0.031250,0.187500
python,H,13,13,0,13,H,0.593750,0.062500,0.093750
python,H,13,13,1,0,H,1.000000,0.031250,0.187500
python,H,13,13,2,0,H,1.000000,0.031250,0.187500
python,H,14,13,0,13,H,0.593750,-0.187500,0.093750
python,H,14,13,1,0,H,1.000000,0.031250,0.187500
python,H,14,13,2,0,H,1.000000,0.031250,0.187500
python,H,15,13,0,13,H,0.593750,0.062500,0.281250
python,H,15,13,1,0,H,1.000000,0.031250,0.187500
python,H,15,13,2,0,H,1.000000,0.031250,0.187500
python,H,16,13,0,13,H,0.593750,0.000000,0.093750
python,H,16,13,1,0,H,1.000000,0.031250,0.187500
python,H,16,13,2,0,H,1.000000,0.031250,0.187500
python,H,17,13,0,13,H,0.593750,-0.062500,-0.093750
python,H,17,13,1,0,H,1.000000,0.031250,0.187500
python,H,17,13,2,0,H,1.000000,0.031250,0.187500
python,H,18,13,0,13,H,0.593750,0.125000,0.218750
python,H,18,13,1,0,H,1.000000,0.031250,0.187500
python,H,18,13,2,0,H,1.000000,0.031250,0.187500
python,H,19,13,0,13,H,0.593750,-0.125000,0.093750
python,H,19,13,1,0,H,1.000000,0.031250,0.187500
python,H,19,13,2,0,H,1.000000,0.031250,0.187500
python,T,0,8,0,8,T,0.093750,0.750000,0.156250
python,T,0,8,1,0,T,0.031250,1.000000,0.281250
python,T,0,8,2,0,T,0.031250,1.000000,0.281250
python,T,1,8,0,8,T,0.093750,0.750000,0.343750
python,T,1,8,1,0,T,0.031250,1.000000,0.281250
python,T,1,8,2,0,T,0.031250,1.000000,0.281250
python,T,2,8,0,8,T,-0.093750,0.750000,0.218750
python,T,2,8,1,0,T,0.031250,1.000000,0.281250
python,T,2,8,2,0,T,0.031250,1.000000,0.281250
python,T,3,8,0,8,T,0.031250,0.750000,0.093750
python,T,3,8,1,0,T,0.031250,1.000000,0.281250
python,T,3,8,2,0,T,0.031250,1.000000,0.281250
python,T,4,8,0,8,T,-0.031250,0.750000,0.281250
python,T,4,8,1,0,T,0.031250,1.000000,0.281250
python,T,4,8,2,0,T,0.031250,1.000000,0.281250
python,T,5,8,0,8,T,0.031250,0.750000,0.218750
python,T,5,8,1,0,T,0.031250,1.000000,0.281250
python,T,5,8,2,0,T,0.031250,1.000000,0.281250
python,T,6,8,0,8,T,-0.093750,0.750000,0.031250
python,T,6,8,1,0,T,0.031250,1.000000,0.281250
python,T,6,8,2,0,T,0.031250,1.000000,0.281250
python,T,7,8,0,8,T,0.093750,0.750000,0.156250
python,T,7,8,1,0,T,0.031250,1.000000,0.281250
python,T,7,8,2,0,T,0.031250,1.000000,0.281250
python,T,8,8,0,8,T,0.031250,0.750000,0.218750
python,T,8,8,1,0,T,0.031250,1.000000,0.281250
python,T,8,8,2,0,T,0.031250,1.000000,0.281250
python,T,9,8,0,8,T,0.093750,0.750000,0.406250
python,T,9,8,1,0,T,0.031250,1.000000,0.281250
python,T,9,8,2,0,T,0.031250,1.000000,0.281250
python,T,10,8,0,8,T,-0.093750,0.750000,0.218750
python,T,10,8,1,0,T,0.031250,1.000000,0.281250
python,T,10,8,2,0,T,0.031250,1.000000,0.281250
python,T,11,8,0,8,T,0.031250,0.750000,0.218750
python,T,11,8,1,0,T,0.031250,1.000000,0.281250
python,T,11,8,2,0,T,0.031250,1.000000,0.281250
python,T,12,8,0,8,T,0.031250,0.750000,0.218750
python,T,12,8,1,0,T,0.031250,1.000000,0.281250
python,T,12,8,2,0,T,0.031250,1.000000,0.281250
python,T,13,8,0,8,T,0.093750,0.750000,0.281250
python,T,13,8,1,0,T,0.031250,1.000000,0.281250
python,T,13,8,2,0,T,0.031250,1.000000,0.281250
python,T,14,8,0,8,T,0.093750,0.750000,0.218750
python,T,14,8,1,0,T,0.031250,1.000000,0.281250
python,T,14,8,2,0,T,0.031250,1.000000,0.281250
python,T,15,8,0,8,T,0.031250,0.750000,0.218750
python,T,15,8,1,0,T,0.031250,1.000000,0.281250
python,T,15,8,2,0,T,0.031250,1.000000,0.281250
python,T,16,8,0,8,T,0.031250,0.750000,0.218750
python,T,16,8,1,0,T,0.031250,1.000000,0.281250
python,T,16,8,2,0,T,0.031250,1.000000,0.281250
python,T,17,8,0,8,T,0.093750,0.750000,0.218750
python,T,17,8,1,0,T,0.031250,1.000000,0.281250
python,T,17,8,2,0,T,0.031250,1.000000,0.281250
python,T,18,8,0,8,T,0.093750,0.750000,0.218750
python,T,18,8,1,0,T,0.031250,1.000000,0.281250
python,T,18,8,2,0,T,0.031250,1.000000,0.281250
