source,pat_name,trial,n_flip,iteration,hamming_to_nearest,nearest_pat,overlap_H,overlap_T,overlap_X
rtl,H  ,0,8,0,8,H  ,0.750000,0.031250,0.000000
rtl,H  ,0,8,1,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,0,8,2,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,1,8,0,8,H  ,0.750000,-0.093750,0.062500
rtl,H  ,1,8,1,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,1,8,2,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,2,8,0,8,H  ,0.750000,0.093750,0.187500
rtl,H  ,2,8,1,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,2,8,2,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,3,8,0,8,H  ,0.750000,-0.031250,0.062500
rtl,H  ,3,8,1,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,3,8,2,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,4,8,0,8,H  ,0.750000,0.093750,0.125000
rtl,H  ,4,8,1,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,4,8,2,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,5,8,0,8,H  ,0.750000,0.031250,0.250000
rtl,H  ,5,8,1,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,5,8,2,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,6,8,0,8,H  ,0.750000,0.156250,0.062500
rtl,H  ,6,8,1,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,6,8,2,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,7,8,0,8,H  ,0.750000,0.218750,0.187500
rtl,H  ,7,8,1,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,7,8,2,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,8,8,0,8,H  ,0.750000,0.031250,0.125000
rtl,H  ,8,8,1,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,8,8,2,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,9,8,0,8,H  ,0.750000,0.031250,0.250000
rtl,H  ,9,8,1,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,9,8,2,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,10,8,0,8,H  ,0.750000,-0.031250,0.250000
rtl,H  ,10,8,1,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,10,8,2,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,11,8,0,8,H  ,0.750000,-0.031250,0.312500
rtl,H  ,11,8,1,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,11,8,2,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,12,8,0,8,H  ,0.750000,0.031250,0.187500
rtl,H  ,12,8,1,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,12,8,2,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,13,8,0,8,H  ,0.750000,0.218750,0.187500
rtl,H  ,13,8,1,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,13,8,2,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,14,8,0,8,H  ,0.750000,0.093750,0.250000
rtl,H  ,14,8,1,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,14,8,2,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,15,8,0,8,H  ,0.750000,0.093750,0.125000
rtl,H  ,15,8,1,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,15,8,2,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,16,8,0,8,H  ,0.750000,-0.093750,0.187500
rtl,H  ,16,8,1,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,16,8,2,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,17,8,0,8,H  ,0.750000,-0.093750,0.250000
rtl,H  ,17,8,1,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,17,8,2,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,18,8,0,8,H  ,0.750000,-0.031250,0.125000
rtl,H  ,18,8,1,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,18,8,2,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,19,8,0,8,H  ,0.750000,-0.031250,0.125000
rtl,H  ,19,8,1,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,19,8,2,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,0,13,0,13,H  ,0.593750,-0.062500,0.156250
rtl,H  ,0,13,1,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,0,13,2,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,1,13,0,13,H  ,0.593750,0.125000,0.156250
rtl,H  ,1,13,1,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,1,13,2,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,2,13,0,13,H  ,0.593750,0.125000,0.218750
rtl,H  ,2,13,1,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,2,13,2,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,3,13,0,13,H  ,0.593750,-0.062500,0.031250
rtl,H  ,3,13,1,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,3,13,2,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,4,13,0,13,H  ,0.593750,0.062500,-0.031250
rtl,H  ,4,13,1,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,4,13,2,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,5,13,0,13,H  ,0.593750,-0.187500,0.156250
rtl,H  ,5,13,1,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,5,13,2,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,6,13,0,13,H  ,0.593750,0.250000,0.156250
rtl,H  ,6,13,1,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,6,13,2,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,7,13,0,13,H  ,0.593750,0.062500,0.281250
rtl,H  ,7,13,1,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,7,13,2,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,8,13,0,13,H  ,0.593750,-0.125000,0.093750
rtl,H  ,8,13,1,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,8,13,2,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,9,13,0,13,H  ,0.593750,0.000000,-0.093750
rtl,H  ,9,13,1,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,9,13,2,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,10,13,0,13,H  ,0.593750,0.000000,0.093750
rtl,H  ,10,13,1,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,10,13,2,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,11,13,0,13,H  ,0.593750,0.187500,0.093750
rtl,H  ,11,13,1,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,11,13,2,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,12,13,0,13,H  ,0.593750,-0.125000,0.031250
rtl,H  ,12,13,1,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,12,13,2,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,13,13,0,13,H  ,0.593750,0.062500,0.093750
rtl,H  ,13,13,1,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,13,13,2,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,14,13,0,13,H  ,0.593750,-0.187500,0.093750
rtl,H  ,14,13,1,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,14,13,2,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,15,13,0,13,H  ,0.593750,0.062500,0.281250
rtl,H  ,15,13,1,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,15,13,2,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,16,13,0,13,H  ,0.593750,0.000000,0.093750
rtl,H  ,16,13,1,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,16,13,2,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,17,13,0,13,H  ,0.593750,-0.062500,-0.093750
rtl,H  ,17,13,1,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,17,13,2,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,18,13,0,13,H  ,0.593750,0.125000,0.218750
rtl,H  ,18,13,1,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,18,13,2,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,19,13,0,13,H  ,0.593750,-0.125000,0.093750
rtl,H  ,19,13,1,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,19,13,2,0,H  ,1.000000,0.031250,0.187500
rtl,T  ,0,8,0,8,T  ,0.093750,0.750000,0.156250
rtl,T  ,0,8,1,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,0,8,2,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,1,8,0,8,T  ,0.093750,0.750000,0.343750
rtl,T  ,1,8,1,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,1,8,2,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,2,8,0,8,T  ,-0.093750,0.750000,0.218750
rtl,T  ,2,8,1,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,2,8,2,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,3,8,0,8,T  ,0.031250,0.750000,0.093750
rtl,T  ,3,8,1,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,3,8,2,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,4,8,0,8,T  ,-0.031250,0.750000,0.281250
rtl,T  ,4,8,1,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,4,8,2,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,5,8,0,8,T  ,0.031250,0.750000,0.218750
rtl,T  ,5,8,1,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,5,8,2,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,6,8,0,8,T  ,-0.093750,0.750000,0.031250
rtl,T  ,6,8,1,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,6,8,2,0,T  ,0.031250,1.000000,0.281250
