workload,path,k,mean_mre_pct,mean_alignment,mean_clamps_per_run,n_overflow
ssc,baseline,1,0.550550,0.999992,0.00,0
ssc,baseline,2,0.547620,0.999992,0.00,0
ssc,baseline,4,0.549436,0.999991,0.00,0
ssc,baseline,8,0.548929,0.999992,0.00,0
ssc,baseline,16,0.547941,0.999993,0.00,0
ssc,baseline,32,0.558974,0.999994,0.00,0
ssc,baseline,64,0.545995,0.999999,0.00,0
ssc,baseline,128,0.544588,0.999999,0.00,0
ssc,baseline,inf,18.652030,1.000000,0.00,0
ssc,pf18,1,0.542787,0.999999,0.02,0
ssc,pf18,2,0.542840,0.999999,0.04,0
ssc,pf18,4,0.542840,0.999999,0.08,0
ssc,pf18,8,0.542707,0.999999,0.16,0
ssc,pf18,16,0.542707,0.999999,0.32,0
ssc,pf18,32,0.542707,0.999999,0.64,0
ssc,pf18,64,0.542707,0.999999,1.28,0
ssc,pf18,128,0.542707,0.999999,2.56,0
ssc,pf18,inf,0.335166,0.999999,5.12,0
pi,baseline,1,0.411950,0.999988,0.00,0
pi,baseline,2,0.392322,0.999990,0.00,0
pi,baseline,4,0.405197,0.999989,0.00,0
pi,baseline,8,0.403534,0.999989,0.00,0
pi,baseline,16,12.642117,0.989211,0.00,0
pi,baseline,32,12.710237,0.989151,0.00,0
pi,baseline,64,12.710237,0.989151,0.00,0
pi,baseline,128,12.710237,0.989151,0.00,0
pi,baseline,inf,100.000000,0.000000,0.00,0
pi,pf18,1,6.633657,0.996329,1846.59,0
pi,pf18,2,12.710237,0.989151,8022.53,0
pi,pf18,4,12.710237,0.989151,11219.97,0
pi,pf18,8,12.710237,0.989151,12818.69,0
pi,pf18,16,12.710237,0.989151,13618.05,0
pi,pf18,32,12.710237,0.989151,14017.73,0
pi,pf18,64,12.710237,0.989151,14217.57,0
pi,pf18,128,12.710237,0.989151,14317.49,0
pi,pf18,inf,100.000000,0.000000,14367.45,0
