t,lambda_dut,lambda_gold,alignment
1,5.484197,6.552542,0.987850
2,5.619116,7.152534,0.991655
3,5.613878,7.163215,0.990732
4,5.613878,7.163528,0.990959
5,5.613878,7.163540,0.990915
6,5.613878,7.163541,0.990924
7,5.613878,7.163541,0.990922
8,5.613878,7.163541,0.990923
9,5.613878,7.163541,0.990923
10,5.613878,7.163541,0.990923
11,5.613878,7.163541,0.990923
12,5.613878,7.163541,0.990923
13,5.613878,7.163541,0.990923
14,5.613878,7.163541,0.990923
15,5.613878,7.163541,0.990923
16,5.613878,7.163541,0.990923
17,5.613878,7.163541,0.990923
18,5.613878,7.163541,0.990923
19,5.613878,7.163541,0.990923
20,5.613878,7.163541,0.990923
21,5.613878,7.163541,0.990923
22,5.613878,7.163541,0.990923
23,5.613878,7.163541,0.990923
24,5.613878,7.163541,0.990923
25,5.613878,7.163541,0.990923
26,5.613878,7.163541,0.990923
27,5.613878,7.163541,0.990923
28,5.613878,7.163541,0.990923
29,5.613878,7.163541,0.990923
30,5.613878,7.163541,0.990923
31,5.613878,7.163541,0.990923
32,5.613878,7.163541,0.990923
33,5.613878,7.163541,0.990923
34,5.613878,7.163541,0.990923
35,5.613878,7.163541,0.990923
36,5.613878,7.163541,0.990923
37,5.613878,7.163541,0.990923
38,5.613878,7.163541,0.990923
39,5.613878,7.163541,0.990923
40,5.613878,7.163541,0.990923
41,5.613878,7.163541,0.990923
42,5.613878,7.163541,0.990923
43,5.613878,7.163541,0.990923
44,5.613878,7.163541,0.990923
45,5.613878,7.163541,0.990923
46,5.613878,7.163541,0.990923
47,5.613878,7.163541,0.990923
48,5.613878,7.163541,0.990923
49,5.613878,7.163541,0.990923
50,5.613878,7.163541,0.990923
51,5.613878,7.163541,0.990923
52,5.613878,7.163541,0.990923
53,5.613878,7.163541,0.990923
54,5.613878,7.163541,0.990923
55,5.613878,7.163541,0.990923
56,5.613878,7.163541,0.990923
57,5.613878,7.163541,0.990923
58,5.613878,7.163541,0.990923
59,5.613878,7.163541,0.990923
60,5.613878,7.163541,0.990923
61,5.613878,7.163541,0.990923
62,5.613878,7.163541,0.990923
63,5.613878,7.163541,0.990923
64,5.613878,7.163541,0.990923
65,5.613878,7.163541,0.990923
66,5.613878,7.163541,0.990923
67,5.613878,7.163541,0.990923
68,5.613878,7.163541,0.990923
69,5.613878,7.163541,0.990923
70,5.613878,7.163541,0.990923
71,5.613878,7.163541,0.990923
72,5.613878,7.163541,0.990923
73,5.613878,7.163541,0.990923
74,5.613878,7.163541,0.990923
75,5.613878,7.163541,0.990923
76,5.613878,7.163541,0.990923
77,5.613878,7.163541,0.990923
78,5.613878,7.163541,0.990923
79,5.613878,7.163541,0.990923
80,5.613878,7.163541,0.990923
81,5.613878,7.163541,0.990923
82,5.613878,7.163541,0.990923
83,5.613878,7.163541,0.990923
84,5.613878,7.163541,0.990923
85,5.613878,7.163541,0.990923
86,5.613878,7.163541,0.990923
87,5.613878,7.163541,0.990923
88,5.613878,7.163541,0.990923
89,5.613878,7.163541,0.990923
90,5.613878,7.163541,0.990923
91,5.613878,7.163541,0.990923
92,5.613878,7.163541,0.990923
93,5.613878,7.163541,0.990923
94,5.613878,7.163541,0.990923
95,5.613878,7.163541,0.990923
96,5.613878,7.163541,0.990923
97,5.613878,7.163541,0.990923
98,5.613878,7.163541,0.990923
99,5.613878,7.163541,0.990923
100,5.613878,7.163541,0.990923
101,5.613878,7.163541,0.990923
102,5.613878,7.163541,0.990923
103,5.613878,7.163541,0.990923
104,5.613878,7.163541,0.990923
105,5.613878,7.163541,0.990923
106,5.613878,7.163541,0.990923
107,5.613878,7.163541,0.990923
108,5.613878,7.163541,0.990923
109,5.613878,7.163541,0.990923
110,5.613878,7.163541,0.990923
111,5.613878,7.163541,0.990923
112,5.613878,7.163541,0.990923
113,5.613878,7.163541,0.990923
114,5.613878,7.163541,0.990923
115,5.613878,7.163541,0.990923
116,5.613878,7.163541,0.990923
117,5.613878,7.163541,0.990923
118,5.613878,7.163541,0.990923
119,5.613878,7.163541,0.990923
120,5.613878,7.163541,0.990923
121,5.613878,7.163541,0.990923
122,5.613878,7.163541,0.990923
123,5.613878,7.163541,0.990923
124,5.613878,7.163541,0.990923
125,5.613878,7.163541,0.990923
126,5.613878,7.163541,0.990923
127,5.613878,7.163541,0.990923
128,5.613878,7.163541,0.990923
129,5.613878,7.163541,0.990923
130,5.613878,7.163541,0.990923
131,5.613878,7.163541,0.990923
132,5.613878,7.163541,0.990923
133,5.613878,7.163541,0.990923
134,5.613878,7.163541,0.990923
