task,fmt,bits,condition,metric,value
T1,NFE-13,13,k=1,mean_align,0.9999994395936003
T1,NFE-13,13,k=1,frac_099,1.0
T1,FP8-E4M3,8,k=1,mean_align,0.9998788556665904
T1,FP8-E4M3,8,k=1,frac_099,1.0
T1,FP8-E5M2,8,k=1,mean_align,0.9996239412451935
T1,FP8-E5M2,8,k=1,frac_099,1.0
T1,BF16,16,k=1,mean_align,0.9999995638862019
T1,BF16,16,k=1,frac_099,1.0
T1,INT8,8,k=1,mean_align,0.9999951387685492
T1,INT8,8,k=1,frac_099,1.0
T1,NFE-13,13,k=4,mean_align,0.999999476383393
T1,NFE-13,13,k=4,frac_099,1.0
T1,FP8-E4M3,8,k=4,mean_align,0.9999471994771825
T1,FP8-E4M3,8,k=4,frac_099,1.0
T1,FP8-E5M2,8,k=4,mean_align,0.9997313295672342
T1,FP8-E5M2,8,k=4,frac_099,1.0
T1,BF16,16,k=4,mean_align,0.9999997262433066
T1,BF16,16,k=4,frac_099,1.0
T1,INT8,8,k=4,mean_align,0.9999956758942561
T1,INT8,8,k=4,frac_099,1.0
T1,NFE-13,13,k=8,mean_align,0.9999995059163896
T1,NFE-13,13,k=8,frac_099,1.0
T1,FP8-E4M3,8,k=8,mean_align,0.9999439666940525
T1,FP8-E4M3,8,k=8,frac_099,1.0
T1,FP8-E5M2,8,k=8,mean_align,0.9997383229012058
T1,FP8-E5M2,8,k=8,frac_099,1.0
T1,BF16,16,k=8,mean_align,0.9999995578879939
T1,BF16,16,k=8,frac_099,1.0
T1,INT8,8,k=8,mean_align,0.9999949021190612
T1,INT8,8,k=8,frac_099,1.0
T1,NFE-13,13,k=16,mean_align,0.9999992965170701
T1,NFE-13,13,k=16,frac_099,1.0
T1,FP8-E4M3,8,k=16,mean_align,0.9999527263831084
T1,FP8-E4M3,8,k=16,frac_099,1.0
T1,FP8-E5M2,8,k=16,mean_align,0.9998155812038085
T1,FP8-E5M2,8,k=16,frac_099,1.0
T1,BF16,16,k=16,mean_align,0.9999995603864462
T1,BF16,16,k=16,frac_099,1.0
T1,INT8,8,k=16,mean_align,0.9999951740624408
T1,INT8,8,k=16,frac_099,1.0
T2a,NFE-13,13,k=1,frac_converged,1.0
T2a,NFE-13,13,k=1,mean_iter,1.02
T2a,FP8-E4M3,8,k=1,frac_converged,1.0
T2a,FP8-E4M3,8,k=1,mean_iter,1.06
T2a,FP8-E5M2,8,k=1,frac_converged,1.0
T2a,FP8-E5M2,8,k=1,mean_iter,1.1
T2a,BF16,16,k=1,frac_converged,1.0
T2a,BF16,16,k=1,mean_iter,1.02
T2a,INT8,8,k=1,frac_converged,1.0
T2a,INT8,8,k=1,mean_iter,1.02
T2b,FP64-baseline,,N_recall=4,accuracy,0.2866666666666667
T2b,FP64-baseline,,N_recall=8,accuracy,0.13
T2b,FP64-baseline,,N_recall=16,accuracy,0.115
T2b,NFE-13,13,N_recall=4,accuracy,0.25472222222222224
T2b,NFE-13,13,N_recall=8,accuracy,0.18571428571428572
T2b,NFE-13,13,N_recall=16,accuracy,0.115
T2b,FP8-E4M3,8,N_recall=4,accuracy,0.28944444444444445
T2b,FP8-E4M3,8,N_recall=8,accuracy,0.1775
T2b,FP8-E4M3,8,N_recall=16,accuracy,0.12333333333333334
T2b,FP8-E5M2,8,N_recall=4,accuracy,0.3025
T2b,FP8-E5M2,8,N_recall=8,accuracy,0.17642857142857143
T2b,FP8-E5M2,8,N_recall=16,accuracy,0.12333333333333334
T2b,BF16,16,N_recall=4,accuracy,0.25194444444444447
T2b,BF16,16,N_recall=8,accuracy,0.18821428571428572
T2b,BF16,16,N_recall=16,accuracy,0.11666666666666667
T2b,INT8,8,N_recall=4,accuracy,0.2863888888888889
T2b,INT8,8,N_recall=8,accuracy,0.12964285714285714
T2b,INT8,8,N_recall=16,accuracy,0.11666666666666667
